A_0,A_1,A_2,A_3,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_8,R_9,R_10,R_11,R_12,R_13,R_14,R_15,Class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count,Epoch Complete
#,0.0,1.0,1.0,#,#,#,#,#,#,#,#,0.0,#,#,1.0,1.0,#,#,0.0,1.0,0.2630755761638284,0.875,1,38.850154856448,9878,7524,0.35,0.000303314328111894,14,16,False
0.0,0.0,1.0,1.0,#,#,#,1.0,#,#,#,#,#,#,#,#,1.0,#,#,#,1.0,1.0,1.0,1,37.601314397696875,9966,7532,0.3,0.00029356427161753284,34,34,False
#,0.0,1.0,#,#,1.0,1.0,#,#,#,#,#,#,0.0,1.0,#,#,#,#,#,1.0,0.04012176831247338,0.725,1,41.131552103105086,9870,7532,0.3,0.004989915278761534,29,40,False
#,0.0,1.0,1.0,#,#,1.0,#,#,#,#,1.0,1.0,#,#,1.0,#,#,#,1.0,1.0,0.0009765625,0.5,1,40.984,9549,7533,0.4,0.00031997387061314823,4,8,False
#,0.0,#,0.0,#,#,#,#,1.0,#,1.0,#,#,#,0.0,1.0,#,#,1.0,#,0.0,0.0016310376661280196,0.5263157894736842,1,33.80528176329523,9743,7535,0.35,0.00026392755350794565,10,19,False
0.0,1.0,1.0,0.0,#,#,#,#,#,#,1.0,0.0,#,#,#,#,#,0.0,#,1.0,1.0,1.0,1.0,1,37.74304,9823,7536,0.4,0.00029467076413983205,9,9,False
1.0,0.0,0.0,#,#,#,1.0,#,1.0,#,#,#,1.0,#,0.0,#,#,#,#,#,1.0,0.1615055828898458,0.8333333333333334,1,33.3905147666432,9976,7538,0.35,0.00026068934832247474,15,18,False
0.0,#,0.0,#,1.0,1.0,#,#,#,#,1.0,#,#,#,#,#,#,#,1.0,1.0,1.0,0.07590360545400188,0.7727272727272727,1,45.04405804110682,9932,7542,0.35,0.00035167191097833917,17,22,False
0.0,#,0.0,1.0,0.0,1.0,#,#,0.0,1.0,#,0.0,0.0,#,#,#,#,#,#,#,1.0,1.0,1.0,1,34.0,8825,7548,0.45,0.00026544777476203,5,5,False
1.0,#,#,0.0,#,#,1.0,1.0,#,#,#,#,1.0,#,#,#,1.0,#,#,#,1.0,0.056313514709472656,0.75,1,37.227686831184776,9909,7549,0.3,0.003217744507830208,30,40,False
0.0,#,1.0,1.0,#,#,0.0,#,#,#,#,1.0,#,#,#,#,#,#,#,#,1.0,0.13986145654401227,0.8214285714285714,1,41.754267785694246,9980,7551,0.25,0.00032598757266266037,69,84,False
#,1.0,0.0,1.0,#,#,#,#,#,0.0,1.0,1.0,0.0,#,#,#,#,#,#,0.0,0.0,1.0,1.0,1,34.8,9588,7554,0.4,0.00027169360475643074,5,5,False
0.0,0.0,1.0,0.0,1.0,#,1.0,#,#,#,#,#,#,#,1.0,#,#,#,#,#,1.0,1.0,1.0,1,48.48661810531533,9999,7559,0.35,0.00037854896711153857,19,19,False
0.0,#,#,1.0,#,1.0,#,1.0,#,1.0,#,1.0,#,#,0.0,#,#,#,#,#,1.0,1.0,1.0,1,45.8066688,9689,7562,0.35,0.0003576258324182738,11,11,False
1.0,1.0,0.0,1.0,#,0.0,#,#,#,#,#,0.0,#,#,#,#,#,0.0,#,#,0.0,1.0,1.0,1,32.99613192492155,9561,7566,0.35,0.00025761028809484715,20,20,False
1.0,0.0,0.0,#,0.0,#,#,#,1.0,#,#,0.0,0.0,#,#,#,#,#,#,1.0,0.0,0.03457161303360778,0.7142857142857143,1,41.432,9010,7582,0.4,0.00032347153541001264,5,7,False
1.0,1.0,#,0.0,#,#,#,#,#,0.0,#,#,#,#,#,#,0.0,#,0.0,#,0.0,1.0,1.0,1,40.942322002924854,9938,7583,0.3,0.0003196484785078501,40,40,False
0.0,0.0,0.0,0.0,0.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,1.0,1.0,3,52.140818120402685,9953,7589,0.3,0.001221235071558761,38,38,False
0.0,#,#,0.0,0.0,#,0.0,#,0.0,#,#,#,#,#,0.0,#,#,#,#,1.0,0.0,0.3219732365906964,0.8928571428571429,1,48.357038514063774,9789,7594,0.35,0.0003775373019894121,25,28,False
#,#,1.0,0.0,#,#,#,#,#,#,#,0.0,#,#,0.0,0.0,#,#,0.0,#,0.0,0.19339307312595536,0.8484848484848485,1,45.640569385789675,9989,7596,0.3,0.00035632904653911475,28,33,False
1.0,#,#,#,0.0,#,#,#,#,#,#,0.0,#,1.0,#,#,#,0.0,0.0,0.0,0.0,0.04717852373687206,0.7368421052631579,1,35.47656446181376,9636,7596,0.35,0.00027697573801735816,14,19,False
1.0,#,0.0,#,#,0.0,#,#,0.0,0.0,#,#,#,0.0,#,#,#,0.0,1.0,#,0.0,1.0,1.0,1,59.396032000000005,9750,7608,0.4,0.0004637218977674803,10,10,False
0.0,0.0,1.0,0.0,#,#,0.0,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,1.0,1.0,8,47.52421060759826,9989,7613,0.25,0.0029682814007315345,78,78,False
0.0,#,1.0,0.0,#,#,1.0,#,#,#,1.0,#,#,#,#,#,#,#,#,#,1.0,1.0,1.0,5,44.72222661779462,9999,7616,0.25,0.0017457964026612956,55,55,False
#,#,0.0,0.0,#,#,#,#,1.0,#,#,#,1.0,0.0,#,#,#,#,#,#,1.0,0.13895650040099228,0.8208955223880597,1,39.05189230046428,9940,7620,0.25,0.0003048893503354323,55,67,False
#,1.0,1.0,0.0,#,#,#,#,#,#,#,#,#,1.0,0.0,0.0,#,#,0.0,#,0.0,0.08101311022241207,0.7777777777777778,1,35.53104755949568,9990,7641,0.35,0.0002774011032244702,14,18,False
1.0,0.0,1.0,1.0,#,#,#,#,#,0.0,#,1.0,#,#,#,0.0,#,#,#,#,0.0,1.0,1.0,1,42.200816640000006,9985,7644,0.35,0.00032947390794789563,13,13,False
0.0,1.0,#,1.0,#,#,#,#,#,0.0,#,0.0,#,#,#,#,#,#,#,0.0,0.0,1.0,1.0,2,50.372311784119894,9916,7646,0.3,0.0007865422395714006,36,36,False
#,#,0.0,1.0,0.0,0.0,#,0.0,#,#,#,#,1.0,0.0,#,#,#,#,#,#,0.0,0.3486784401000001,0.9,1,41.426093775775335,9986,7655,0.35,0.00032342542381949254,18,20,False
0.0,0.0,#,#,0.0,#,0.0,#,#,#,#,#,#,#,0.0,#,#,#,#,#,0.0,0.08388053967748667,0.7804878048780488,1,45.963924255008564,9989,7659,0.25,0.0003588535709653683,64,82,False
0.0,#,#,1.0,#,#,#,#,#,0.0,#,0.0,#,#,#,#,#,1.0,#,#,0.0,0.13443063274931202,0.8181818181818182,1,42.123054858037875,9916,7660,0.25,0.0003288667993601492,45,55,False
#,1.0,0.0,1.0,#,#,0.0,0.0,#,0.0,#,1.0,0.0,#,#,#,0.0,#,#,#,0.0,0.056313514709472656,0.75,1,51.5,9734,7664,0.45,0.0004020753058895455,3,4,False
0.0,#,#,1.0,#,#,1.0,#,0.0,#,#,1.0,0.0,#,#,0.0,1.0,#,0.0,0.0,0.0,0.0,0.0,1,47.0,7668,7668,0.5,0.0003669425121710415,0,1,False
0.0,1.0,1.0,0.0,#,#,#,1.0,#,#,1.0,#,#,#,#,1.0,#,#,#,#,1.0,1.0,1.0,2,39.68159317763687,9935,7669,0.35,0.000619611212236227,19,19,False
0.0,0.0,1.0,#,#,1.0,1.0,#,0.0,#,#,#,#,#,1.0,#,#,#,#,#,1.0,0.1615055828898458,0.8333333333333334,1,43.00060438380544,9898,7670,0.35,0.00033571808079716316,15,18,False
#,1.0,0.0,0.0,1.0,#,#,#,#,#,#,0.0,#,#,#,#,0.0,#,#,#,0.0,0.12279913468651285,0.8108108108108109,1,50.721926452616536,9960,7671,0.3,0.0003960006620144237,30,37,False
#,1.0,1.0,#,1.0,#,#,1.0,#,#,0.0,0.0,#,#,0.0,#,1.0,#,0.0,#,0.0,1.0,1.0,1,40.44,9975,7674,0.45,0.0003157267062169557,6,6,False
#,0.0,1.0,1.0,#,0.0,#,#,#,#,1.0,1.0,#,#,#,1.0,#,#,#,#,1.0,0.009094947017729282,0.625,1,41.735616987136,9317,7681,0.35,0.0003258419605163421,10,16,False
0.0,0.0,1.0,1.0,#,#,0.0,1.0,#,#,#,1.0,#,#,#,#,#,#,#,#,1.0,1.0,1.0,1,41.612284157952004,9376,7681,0.35,0.0003248790656615775,17,17,False
0.0,#,0.0,1.0,#,#,#,#,#,0.0,0.0,#,#,#,#,#,#,#,#,#,0.0,0.07930223171150622,0.7761194029850746,1,33.317370775927,9947,7683,0.25,0.000260118292158568,52,67,False
1.0,#,0.0,1.0,#,0.0,#,#,#,#,#,0.0,#,0.0,#,#,#,1.0,#,0.0,0.0,0.009094947017729282,0.625,1,39.624,9454,7691,0.4,0.000309355959622667,5,8,False
#,#,0.0,1.0,1.0,#,#,#,#,1.0,#,1.0,1.0,#,#,#,1.0,1.0,#,#,1.0,0.08101311022241207,0.7777777777777778,1,49.20352,9512,7712,0.4,0.0003841460263076188,7,9,False
#,0.0,0.0,1.0,1.0,0.0,#,#,#,#,#,#,#,#,#,#,#,0.0,#,#,0.0,0.1615055828898458,0.8333333333333334,2,41.102745618522555,9822,7718,0.3,0.000641801903590976,25,30,False
1.0,1.0,#,1.0,#,#,#,#,#,#,#,#,0.0,#,1.0,#,#,0.0,#,0.0,0.0,1.0,1.0,1,56.17597243392,9889,7721,0.35,0.000438581966990506,15,15,False
1.0,1.0,#,#,#,1.0,1.0,#,#,#,#,#,#,#,#,#,0.0,0.0,#,#,0.0,0.056313514709472656,0.75,1,42.485014261119446,9783,7721,0.3,0.0036721572823936446,30,40,False
0.0,0.0,0.0,0.0,1.0,1.0,#,#,#,#,#,#,#,0.0,#,#,#,#,0.0,#,1.0,1.0,1.0,1,62.1856,8883,7729,0.4,0.00048550085712475576,8,8,False
0.0,0.0,0.0,#,1.0,#,#,#,#,#,#,1.0,#,#,#,#,#,#,0.0,1.0,1.0,0.30794614765743855,0.8888888888888888,1,38.57561526583296,9964,7729,0.35,0.0003011709185997516,16,18,False
0.0,1.0,1.0,#,#,#,#,1.0,#,#,0.0,0.0,#,#,#,#,#,#,#,#,0.0,1.0,1.0,4,38.52710903972221,9975,7738,0.3,0.001203168866189218,39,39,False
1.0,0.0,#,1.0,0.0,#,#,#,#,#,1.0,#,#,1.0,#,1.0,#,#,#,#,1.0,1.0,1.0,1,46.1890798321664,9769,7742,0.35,0.00036061142528689207,17,17,False
1.0,1.0,1.0,#,#,#,#,#,#,#,#,#,#,1.0,#,#,#,#,1.0,#,1.0,0.10737418240000006,0.8,1,55.49976694847947,9984,7744,0.25,0.00043330263636132756,68,85,False
0.0,0.0,1.0,1.0,#,#,#,1.0,#,#,0.0,1.0,0.0,#,#,#,#,#,#,0.0,1.0,1.0,1.0,1,42.536,9304,7751,0.45,0.00033209078080228557,7,7,False
1.0,1.0,0.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0.0,#,#,#,0.0,1.0,1.0,10,50.71829902499606,9954,7752,0.25,0.003959723416441306,68,68,False
#,#,0.0,0.0,#,#,#,#,0.0,#,#,#,#,#,#,#,0.0,#,#,#,0.0,0.13443063274931202,0.8181818181818182,2,49.03201609574897,9988,7754,0.2,0.0007656140920419179,117,143,False
0.0,1.0,1.0,0.0,#,#,#,#,#,1.0,1.0,#,#,1.0,#,#,#,0.0,#,1.0,1.0,1.0,1.0,1,41.0,9090,7756,0.45,0.00032009878721303624,2,2,False
1.0,0.0,#,0.0,#,#,1.0,#,#,#,#,#,1.0,#,#,0.0,#,#,#,#,1.0,0.3219732365906964,0.8928571428571429,1,42.991178761855416,9971,7761,0.3,0.000335644492256799,25,28,False
1.0,0.0,#,0.0,#,#,#,#,#,0.0,#,#,1.0,#,1.0,#,#,#,#,#,1.0,1.0,1.0,3,43.81909552865083,9971,7763,0.3,0.0010263248294263396,38,38,False
#,0.0,1.0,1.0,#,#,1.0,#,#,#,0.0,1.0,#,#,#,1.0,#,#,#,#,1.0,0.04139739548230255,0.7272727272727273,1,36.5581184,9549,7777,0.35,0.0002854197405519654,8,11,False
1.0,0.0,#,0.0,#,#,1.0,#,1.0,0.0,#,#,1.0,#,#,#,#,#,#,#,1.0,0.056313514709472656,0.75,1,37.795592687616,9976,7780,0.35,0.00029508105808058005,12,16,False
0.0,1.0,1.0,1.0,1.0,#,#,#,#,#,#,1.0,#,#,#,#,1.0,#,#,#,1.0,1.0,1.0,1,36.8878926791365,9926,7781,0.35,0.00028799438315698126,25,25,False
1.0,#,1.0,1.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,0.0,0.09594242007094977,0.7910447761194029,1,49.41884092211604,9956,7783,0.25,0.0003858270986498368,53,67,False
0.0,0.0,#,#,0.0,#,0.0,#,#,1.0,#,#,#,#,#,#,#,#,#,#,0.0,0.16976499972415734,0.8375,1,42.77460102013474,9933,7786,0.25,0.00033395360756260077,67,80,False
0.0,0.0,1.0,1.0,#,#,1.0,#,0.0,#,#,#,#,#,1.0,#,#,#,#,0.0,1.0,9.5367431640625e-07,0.25,1,44.75,8822,7789,0.4,0.0003493761153117895,1,4,False
0.0,0.0,1.0,1.0,#,1.0,#,1.0,#,#,#,#,#,#,#,#,#,0.0,#,#,1.0,1.0,1.0,1,41.47709863388774,9966,7789,0.35,0.0003238236334103158,19,19,False
1.0,1.0,1.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,1.0,1.0,1.0,11,51.97234295540064,9997,7795,0.25,0.004463393254514172,91,91,False
0.0,#,1.0,#,#,#,#,#,#,#,1.0,1.0,#,#,#,1.0,#,#,#,#,1.0,0.07463751957429753,0.7714285714285715,1,44.63864628228594,9966,7799,0.25,0.0003485067448241814,54,70,False
#,0.0,1.0,0.0,#,#,#,#,1.0,#,#,1.0,#,#,1.0,#,#,#,1.0,#,1.0,0.0028007538972582447,0.5555555555555556,1,36.75232,8808,7802,0.35,0.0002869359282747662,5,9,False
#,0.0,1.0,#,#,#,1.0,1.0,#,#,#,#,0.0,#,#,1.0,#,#,#,#,1.0,0.3736630856289844,0.90625,1,43.81602749325008,9966,7808,0.3,0.0003420843234410342,29,32,False
0.0,0.0,#,0.0,1.0,1.0,1.0,#,#,0.0,#,#,#,1.0,#,#,#,#,#,1.0,1.0,1.0,1.0,1,55.774208,9942,7809,0.45,0.0004354452765504298,10,10,False
#,#,0.0,0.0,#,#,#,#,1.0,#,#,#,1.0,#,#,#,#,#,#,#,1.0,0.10538766765513066,0.7985074626865671,1,31.719502696094377,9992,7812,0.2,0.00024764327668342544,107,134,False
1.0,#,0.0,1.0,#,#,#,#,#,#,#,#,1.0,#,#,#,1.0,1.0,#,1.0,1.0,0.056313514709472656,0.75,1,49.481095163904,9624,7817,0.35,0.0003863131354131342,12,16,False
#,1.0,0.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,#,1.0,1.0,0.13443063274931202,0.8181818181818182,1,43.3840754784772,9969,7834,0.25,0.0003387119498785214,54,66,False
#,#,0.0,#,#,#,1.0,#,#,0.0,#,#,1.0,#,0.0,#,1.0,#,#,0.0,1.0,0.004562132974169934,0.5833333333333334,1,40.72475136,9882,7835,0.35,0.0003179498419484987,7,12,False
#,#,0.0,0.0,0.0,#,0.0,#,0.0,#,#,#,#,#,#,#,#,#,#,1.0,0.0,0.23414373537892202,0.8648648648648649,1,54.580689603176964,9895,7841,0.3,0.0004261271352982469,32,37,False
0.0,1.0,#,0.0,#,#,1.0,#,0.0,#,0.0,#,#,#,#,#,#,#,0.0,#,0.0,1.0,1.0,2,54.2332222208723,9908,7854,0.35,0.0008468287151003078,24,24,False
0.0,0.0,#,#,1.0,1.0,#,1.0,#,#,#,#,#,#,#,#,#,#,#,#,1.0,0.4343884542236323,0.92,1,45.10587504191618,9974,7856,0.25,0.00035215453407561287,46,50,False
1.0,1.0,0.0,0.0,0.0,#,#,#,#,#,#,#,#,#,#,#,1.0,#,#,#,1.0,1.0,1.0,3,40.11738927713749,9864,7871,0.3,0.0009396239746657299,26,26,False
1.0,1.0,#,1.0,#,#,#,1.0,#,#,#,#,#,#,#,1.0,#,0.0,#,0.0,0.0,1.0,1.0,1,44.14226944,9751,7879,0.35,0.0003446313881115871,12,12,False
#,0.0,#,#,0.0,#,#,0.0,#,0.0,#,#,0.0,#,1.0,#,#,#,#,1.0,0.0,0.0009765625,0.5,1,45.2767258624,9782,7884,0.35,0.00035348841554954513,7,14,False
0.0,#,1.0,0.0,#,#,1.0,#,#,#,1.0,1.0,#,#,#,#,#,#,#,1.0,1.0,1.0,1.0,1,44.009913376768,9999,7887,0.35,0.00034359804627449305,16,16,False
#,#,1.0,1.0,#,#,#,1.0,#,1.0,#,1.0,#,#,#,#,#,#,#,#,1.0,0.07125318561721058,0.7678571428571429,1,47.58919583130985,9978,7892,0.25,0.0003715425334157552,43,56,False
#,0.0,0.0,1.0,#,0.0,#,#,#,#,#,#,#,0.0,#,#,#,#,#,#,0.0,1.0,1.0,7,45.58061912887196,9986,7906,0.25,0.002491026983536552,63,63,False
0.0,#,1.0,0.0,#,#,1.0,#,#,#,#,1.0,#,#,#,#,#,#,#,#,1.0,0.08842360043586965,0.7846153846153846,1,42.046349565942585,9999,7915,0.25,0.00032826793909252665,51,65,False
#,#,0.0,0.0,0.0,#,#,#,0.0,0.0,#,#,#,#,#,#,#,#,#,1.0,0.0,0.17490122876598085,0.84,1,54.90974426114977,9922,7925,0.3,0.0004286961596139516,21,25,False
1.0,0.0,1.0,0.0,0.0,#,#,#,#,#,#,#,#,#,0.0,1.0,#,#,#,#,0.0,1.0,1.0,1,40.46622437376,9883,7927,0.35,0.00031593144744222393,15,15,False
0.0,1.0,1.0,0.0,#,#,#,1.0,#,#,0.0,0.0,#,#,#,#,#,#,#,#,0.0,1.0,1.0,1,35.83950228377436,9975,7938,0.35,0.00027980929793548813,20,20,False
1.0,#,0.0,#,#,#,0.0,0.0,#,0.0,#,#,1.0,0.0,#,#,#,0.0,0.0,#,0.0,0.056313514709472656,0.75,1,36.25,9965,7943,0.45,0.000283014171621282,3,4,False
1.0,1.0,#,0.0,#,#,#,#,#,#,#,#,0.0,#,#,#,1.0,#,#,#,1.0,0.0773562625552248,0.7741935483870968,1,36.0038560133391,9984,7949,0.25,0.000281092454752747,48,62,False
0.0,1.0,#,1.0,#,#,#,#,#,#,#,1.0,0.0,#,0.0,#,#,#,0.0,0.0,1.0,0.017341529915832606,0.6666666666666666,1,40.7136,9560,7950,0.4,0.0003178627800750408,6,9,False
0.0,1.0,1.0,1.0,#,#,#,#,#,#,#,1.0,#,#,#,#,#,#,#,#,1.0,1.0,1.0,13,42.85878856971961,9980,7955,0.25,0.004349941491552035,78,78,False
0.0,#,1.0,1.0,#,#,0.0,1.0,#,#,1.0,1.0,#,#,#,1.0,#,#,0.0,#,1.0,1.0,1.0,1,45.6,9837,7955,0.45,0.0003560123096808403,5,5,False
1.0,#,0.0,#,#,#,#,#,1.0,#,#,1.0,0.0,#,#,0.0,0.0,#,#,#,0.0,0.5823566532299392,0.9473684210526315,1,52.462791786496,9860,7957,0.35,0.00040959209816261965,18,19,False
#,#,0.0,0.0,#,#,#,#,1.0,#,#,#,#,#,#,#,1.0,#,#,#,1.0,0.13986145654401227,0.8214285714285714,1,33.67145240636596,9992,7958,0.2,0.00026288270924339544,92,112,False
1.0,1.0,0.0,0.0,#,#,#,#,#,#,#,#,#,#,#,0.0,0.0,#,#,#,0.0,1.0,1.0,2,50.041586652062406,9922,7961,0.3,0.0007813781071971335,37,37,False
1.0,0.0,0.0,1.0,#,#,#,#,#,#,0.0,#,#,1.0,#,#,#,#,#,#,1.0,1.0,1.0,3,46.35882782833973,9928,7970,0.3,0.0010858100900831343,30,30,False
1.0,0.0,0.0,1.0,#,#,0.0,#,#,#,#,1.0,#,0.0,#,1.0,0.0,#,#,#,0.0,1.0,1.0,1,25.333333333333332,9445,7971,0.45,0.00019778461648935572,3,3,False
1.0,0.0,1.0,#,0.0,#,#,#,#,#,1.0,#,#,#,0.0,#,#,1.0,#,#,0.0,0.0009765625,0.5,1,41.707904,9677,7983,0.35,0.0003256255972584815,5,10,False
0.0,#,1.0,#,#,#,1.0,#,#,#,1.0,1.0,#,#,#,#,#,#,1.0,#,1.0,0.13443063274931202,0.8181818181818182,1,43.843388797249986,9966,7984,0.3,0.00034229794100754487,27,33,False
#,1.0,#,1.0,0.0,#,#,#,#,1.0,#,1.0,#,#,#,#,#,1.0,#,#,1.0,1.0,1.0,1,58.63325714423252,9911,7986,0.3,0.00045776669517607124,28,28,False
0.0,0.0,1.0,1.0,#,#,#,1.0,0.0,#,#,1.0,#,#,#,#,#,#,1.0,#,1.0,1.0,1.0,1,36.552,9193,7987,0.4,0.0002853719724441683,8,8,False
#,0.0,1.0,1.0,#,#,#,#,#,#,#,#,#,#,1.0,1.0,#,#,1.0,#,1.0,0.2630755761638284,0.875,1,39.10513125687422,9966,7990,0.3,0.00030530500217395206,21,24,False
#,1.0,#,0.0,#,#,0.0,#,#,#,0.0,0.0,#,#,0.0,#,1.0,#,#,#,0.0,0.0028007538972582447,0.5555555555555556,1,35.32805143805952,9914,8003,0.35,0.0002758162541444539,10,18,False
0.0,0.0,1.0,0.0,#,#,1.0,#,#,#,#,1.0,#,0.0,1.0,#,#,#,1.0,#,1.0,1.0,1.0,1,49.0,9870,8004,0.45,0.0003825570871570433,3,3,False
0.0,1.0,1.0,1.0,#,#,#,#,#,#,#,1.0,#,#,#,#,0.0,1.0,#,#,1.0,1.0,1.0,1,48.948820058112,9911,8017,0.35,0.00038215751063684855,17,17,False
1.0,1.0,1.0,#,#,#,#,#,#,#,#,1.0,#,0.0,#,#,#,#,0.0,0.0,0.0,1.0,1.0,1,48.44868549811896,9889,8020,0.35,0.0003782528163417975,22,22,False
0.0,0.0,0.0,#,1.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,1.0,#,1.0,1.0,1.0,1,47.47984875784492,9937,8030,0.3,0.00037068882937669616,25,25,False
1.0,1.0,0.0,0.0,#,#,#,#,#,#,#,0.0,#,#,#,#,0.0,#,#,#,0.0,1.0,1.0,2,49.6670400051743,9954,8041,0.3,0.0007755297204935437,26,26,False
1.0,0.0,#,0.0,#,#,#,#,#,0.0,#,#,1.0,0.0,1.0,#,#,#,#,#,1.0,1.0,1.0,1,42.88037543936,9891,8048,0.35,0.0003347794188628976,15,15,False
0.0,0.0,#,0.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,0.0,0.12702589318248353,0.8135593220338984,1,49.45663100313578,9989,8049,0.25,0.00038612213667674173,48,59,False
1.0,0.0,#,0.0,#,#,0.0,#,#,#,#,1.0,#,#,0.0,#,1.0,#,#,#,0.0,0.04139739548230255,0.7272727272727273,1,34.995712,9883,8053,0.35,0.0002732215846062609,8,11,False
0.0,#,0.0,0.0,#,#,#,#,1.0,#,#,#,#,#,#,#,1.0,#,#,#,1.0,0.08335775831236203,0.78,1,48.97504862304571,9992,8059,0.25,0.00038236228458381487,39,50,False
#,#,0.0,1.0,#,#,#,#,#,1.0,#,1.0,1.0,#,#,#,1.0,1.0,#,#,1.0,0.017341529915832606,0.6666666666666666,1,53.01102032896,9624,8060,0.35,0.000413872276005505,10,15,False
0.0,0.0,1.0,0.0,#,#,1.0,#,#,0.0,#,#,#,#,1.0,1.0,#,#,#,#,1.0,1.0,1.0,1,50.29927424,9955,8063,0.4,0.0003927008946809735,12,12,False
1.0,#,0.0,1.0,#,#,#,1.0,#,#,#,#,#,#,#,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,32.8,9890,8084,0.45,0.00025607902977042895,5,5,False
#,0.0,#,0.0,#,#,0.0,#,#,#,#,1.0,#,#,0.0,#,#,#,#,#,0.0,0.08101311022241207,0.7777777777777778,1,37.918103787795545,9883,8087,0.25,0.0002960375374607656,49,63,False
1.0,0.0,0.0,0.0,#,#,#,#,#,0.0,#,#,#,0.0,1.0,#,#,#,#,#,1.0,0.00010485760000000006,0.4,1,43.34976,9891,8089,0.35,0.00033844403907259,4,10,False
#,0.0,#,1.0,#,#,#,1.0,#,#,#,#,0.0,#,#,1.0,#,#,#,1.0,1.0,0.02824752489999998,0.7,1,48.31580736178094,9966,8095,0.3,0.008325435885908906,14,20,False
0.0,1.0,1.0,1.0,#,#,#,#,0.0,#,#,0.0,#,#,1.0,#,#,#,#,#,0.0,1.0,1.0,1,48.400014647296004,9957,8098,0.35,0.00037787282901689367,16,16,False
#,0.0,1.0,1.0,#,#,#,1.0,#,#,#,#,0.0,#,#,1.0,#,#,#,1.0,1.0,1.0,1.0,1,43.664,9966,8099,0.35,0.0003408974010943906,7,7,False
0.0,0.0,0.0,1.0,0.0,#,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0.0,1.0,4.6072777086789124e-05,0.3684210526315789,1,36.661423589064704,9987,8100,0.35,0.0002862262738625124,7,19,False
0.0,#,1.0,0.0,#,#,0.0,#,#,#,#,0.0,#,#,0.0,#,#,1.0,#,#,0.0,0.04717852373687206,0.7368421052631579,1,45.230181544427516,9634,8104,0.35,0.00035312503067796834,14,19,False
1.0,1.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,55.5505536,9899,8105,0.35,0.0004336991423505552,11,11,False
1.0,0.0,#,1.0,#,#,1.0,#,#,#,#,1.0,#,#,#,1.0,#,#,#,#,1.0,0.09405385072968116,0.7894736842105263,1,42.03810464340378,9919,8108,0.3,0.00032820356861190864,15,19,False
#,1.0,1.0,0.0,#,#,#,1.0,#,#,1.0,#,#,1.0,1.0,#,#,#,#,0.0,1.0,0.00010485760000000006,0.4,1,35.4,8354,8112,0.4,0.00027637797725223125,2,5,False
0.0,1.0,0.0,0.0,0.0,#,#,#,0.0,#,#,#,#,#,#,#,#,#,0.0,#,0.0,1.0,1.0,1,55.76692165561549,9908,8115,0.35,0.00043538838996504695,19,19,False
0.0,0.0,0.0,#,#,0.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,0.10271660569625311,0.7964601769911505,1,42.9571724121603,9952,8117,0.2,0.00033537899490814166,90,113,False
#,0.0,#,0.0,#,#,1.0,#,#,1.0,#,#,1.0,#,#,#,#,#,#,#,1.0,0.05995718262769125,0.7547169811320755,1,37.28501987742827,9973,8124,0.25,0.003026852802229524,40,53,False
#,0.0,1.0,0.0,#,#,1.0,#,#,#,0.0,#,#,#,#,#,#,#,#,#,1.0,0.10024237194449329,0.7945205479452054,1,45.32881533042952,9971,8125,0.25,0.0003538950930018091,58,73,False
0.0,#,1.0,0.0,#,#,#,#,#,#,#,1.0,#,#,#,#,#,0.0,0.0,0.0,1.0,1.693508780843028e-05,0.3333333333333333,1,38.57119126142976,9968,8125,0.35,0.00030113637912550554,6,18,False
0.0,1.0,0.0,1.0,#,#,#,0.0,#,#,#,#,#,#,#,#,#,0.0,#,0.0,0.0,7.606176347471821e-06,0.3076923076923077,1,42.928404992000004,9754,8129,0.35,0.00033515439938851835,4,13,False
0.0,1.0,1.0,1.0,#,#,#,#,#,#,#,1.0,#,#,#,#,#,#,#,0.0,1.0,1.0,1.0,4,42.58100177200545,9886,8130,0.3,0.0013297684902961065,39,39,False
1.0,1.0,1.0,1.0,#,#,1.0,#,#,0.0,#,1.0,#,#,0.0,0.0,#,0.0,#,#,0.0,0.0,0.0,1,40.0,8142,8142,0.5,0.00031229149972003534,0,2,False
1.0,0.0,1.0,0.0,#,#,#,#,#,#,#,#,#,#,0.0,#,#,1.0,#,#,0.0,1.0,1.0,1,38.359341008238516,9910,8144,0.3,0.00029948240329337645,24,24,False
